LoanRange,BusinessName,Address,City,State,Zip,BusinessType,JobsRetained,DateApproved,Lender
b $2-5 million,FRONTLINE AG SOLUTIONS LLC,127 S MAIN ST,CONRAD,MT,59425,Limited  Liability Company(LLC),195,04/04/2020,Glacier Bank
b $2-5 million,GLENDIVE MEDICAL CENTER INC,202 Prospect,GLENDIVE,MT,59330,Non-Profit Organization,250,04/04/2020,Stockman Bank of Montana
b $2-5 million,IMMANUEL LUTHERAN COMMUNITIES,185 Crestline Avenue,KALISPELL,MT,59901,Non-Profit Organization,322,04/04/2020,Glacier Bank
b $2-5 million,"JACKSON CONTRACTOR GROUP, INC",5800 HWY 93 S,MISSOULA,MT,59804,Corporation,205,04/08/2020,First Interstate Bank
b $2-5 million,KAMPGROUNDS OF AMERICA INC.,550 North 31 Street,BILLINGS,MT,59101,Corporation,10,04/27/2020,Peapack-Gladstone Bank
b $2-5 million,KENYON NOBLE LUMBER COMPANY,PO Box 1109,BOZEMAN,MT,59771,Subchapter S Corporation,255,04/28/2020,"U.S. Bank, National Association"
b $2-5 million,"LANGLAS & ASSOCIATES, INC.",2270 GRANT RD STE C,BILLINGS,MT,59102,Subchapter S Corporation,216,04/11/2020,Dubuque Bank and Trust Company
b $2-5 million,LIVINGSTON HEALTHCARE,320 Alpenglow Lane,LIVINGSTON,MT,59047,Non-Profit Organization,339,04/09/2020,First Interstate Bank
b $2-5 million,MARTEL CONSTRUCTION INC,1203 S CHURCH AVE,BOZEMAN,MT,59715,Subchapter S Corporation,152,04/07/2020,Glacier Bank
b $2-5 million,"MAX & ERMA'S HOLDINGS, LLC",284 FLATHEAD AVE Suite 200,WHITEFISH,MT,59937,Limited  Liability Company(LLC),500,04/05/2020,City National Bank
b $2-5 million,MONTANA CHILDREN'S HOME AND HOSPITAL,2755 COLONIAL DR,HELENA,MT,59601,Non-Profit Organization,250,04/03/2020,Stockman Bank of Montana
b $2-5 million,"NEPTUNE AVIATION SERVICES, INC.",4301 Corporate Way,MISSOULA,MT,59808,Subchapter S Corporation,212,04/08/2020,First Interstate Bank
b $2-5 million,NORTH MONTANA AVE PARTNERSHIP,1414 North Montana Ave,HELENA,MT,59601,Partnership,268,04/09/2020,First Interstate Bank
b $2-5 million,"NORTHEAST MONTANA HEALTH SERVICES, INC.",315 KNAPP ST,WOLF POINT,MT,59201,Non-Profit Organization,305,04/27/2020,Opportunity Bank of Montana
b $2-5 million,"OFTEDAL CONSTRUCTION, INC.",P O Box 400 206 Mt Hwy 59 N,MILES CITY,MT,59301,Employee Stock Ownership Plan(ESOP),383,04/29/2020,"U.S. Bank, National Association"
b $2-5 million,"ORTHO MONTANA, PSC",2900 12TH AVE N STE 140W,BILLINGS,MT,59101,Corporation,145,04/15/2020,"U.S. Bank, National Association"
b $2-5 million,"PARTNERS IN HOME CARE, INC.","2673 PALMER STREET, SUITE 201",MISSOULA,MT,59808,Corporation,151,04/29/2020,Glacier Bank
b $2-5 million,"PAWS UP RANCH, LLC",40060 PAWS UP RD,BONNER,MT,59823,Limited  Liability Company(LLC),141,04/03/2020,Glacier Bank
b $2-5 million,PLAINS HOSPITAL CORPORATION,10 Kruger Road,PLAINS,MT,59859,Non-Profit Organization,225,04/04/2020,Glacier Bank
b $2-5 million,RE INVESTMENT COMPANY LLC,2414 US HIGHWAY 2 E,KALISPELL,MT,59901,Limited  Liability Company(LLC),267,04/07/2020,"PNC Bank, National Association"
b $2-5 million,REC ADVANCED SILICON MATERIALS LLC,119140 RICK JONES WAY,BUTTE,MT,59750,Limited  Liability Company(LLC),205,04/30/2020,Stockman Bank of Montana
b $2-5 million,RESSLER MOTOR COMPANY,8475 Huffine Lane,BOZEMAN,MT,59718,Trust,287,04/07/2020,"Alerus Financial, National Association"
b $2-5 million,ROCKY MOUNTAIN COLLEGE,1511 Poly Dr,BILLINGS,MT,59102,Non-Profit Organization,487,04/10/2020,First Interstate Bank
b $2-5 million,ROCKY MOUNTAIN ELK FOUNDATION,5705 Grant Creek Rd,MISSOULA,MT,59808,Non-Profit Organization,146,04/11/2020,First Interstate Bank
b $2-5 million,"SALISH KOOTENAI COLLEGE, INC.",58138 US HIGHWAY 93,PABLO,MT,59855,Non-Profit Organization,289,04/05/2020,Glacier Bank
b $2-5 million,"SIMKINS-HALLIN, INC.",PO Box 938,BOZEMAN,MT,59771,Subchapter S Corporation,119,04/28/2020,"U.S. Bank, National Association"
b $2-5 million,SIMMS FISHING PRODUCTS LLC,177 GARDEN DR,BOZEMAN,MT,59718,Limited  Liability Company(LLC),150,04/08/2020,American Bank
b $2-5 million,"ST. JOHN'S LUTHERAN HOSPITAL FOUNDATION, INC.",209 Health Park Drive,LIBBY,MT,59923,Non-Profit Organization,277,04/04/2020,Glacier Bank
b $2-5 million,ST. JOHN'S LUTHERAN MINISTRIES,3940 Rimrock Road,BILLINGS,MT,59102,Corporation,487,04/10/2020,First Interstate Bank
b $2-5 million,ST. LABRE INDIAN SCHOOL EDUCATIONAL ASSOCIATION,1000 Tongue River Rd,ASHLAND,MT,59003,Non-Profit Organization,335,04/10/2020,First Community Bank
b $2-5 million,ST. LUKE COMMUNITY HOSPITAL & NURSING HOME INC.,107 6TH AVE SW,RONAN,MT,59864,Non-Profit Organization,0,04/06/2020,Glacier Bank
b $2-5 million,SWANK ENTERPRISES,PO Box 568,VALIER,MT,59486,Sole Proprietorship,168,04/10/2020,Three Rivers Bank of Montana
b $2-5 million,TAMARACK MANAGEMENT INC,500 W Broadway,MISSOULA,MT,59802,Corporation,245,04/08/2020,First Interstate Bank
b $2-5 million,"THE TIRE GUYS, INC.",P.O. Box 23509 1401 Industrial Avenue,BILLINGS,MT,59104,Corporation,426,04/28/2020,"U.S. Bank, National Association"
b $2-5 million,THE WAGGONERS TRUCKING,5220 Midland Road,BILLINGS,MT,59101,Subchapter S Corporation,137,04/04/2020,Stockman Bank of Montana
b $2-5 million,"THOMAS, DEAN AND HOSKINS, INC.",1800 RIVER DR North,GREAT FALLS,MT,59401,Corporation,129,04/03/2020,Stockman Bank of Montana
b $2-5 million,US SHALE MANAGEMENT COMPANY,2348 North Frontage Road Ste 2,BILLINGS,MT,59101,Limited  Liability Company(LLC),110,04/12/2020,Citywide Banks
b $2-5 million,"WESTERN BUILDING CENTER, INC.",1745 3rd Ave E,KALISPELL,MT,59901,Corporation,250,04/05/2020,Three Rivers Bank of Montana
b $2-5 million,WIRELESS COMMUNICATIONS INC,2501 SAINT JOHNS AVE,BILLINGS,MT,59102,Subchapter S Corporation,250,04/03/2020,Stockman Bank of Montana
b $2-5 million,WORKING VENTURES LP,702 E IDAHO ST,KALISPELL,MT,59901,Limited Liability Partnership,294,04/03/2020,Glacier Bank
b $2-5 million,YELLOWSTONE BOYS & GIRLS RANCH,1732 S 72nd St W,BILLINGS,MT,59106,Non-Profit Organization,252,04/10/2020,First Interstate Bank
c $1-2 million,A & E ARCHITECTS PL,124 N 29TH ST,BILLINGS,MT,59101,Corporation,71,04/04/2020,Glacier Bank
c $1-2 million,A PLUS HEALTHCARE INC,1310 S Main Street,KALISPELL,MT,59901,Corporation,500,04/14/2020,Valley Bank of Ronan
c $1-2 million,"ACE ELECTRIC, INC.",808 MAIN ST,LAUREL,MT,59044,Corporation,49,04/03/2020,The Yellowstone Bank
c $1-2 million,AGRI-SYSTEMS BINC,1300 MINNESOTA AVE,BILLINGS,MT,59101,Corporation,130,04/10/2020,First Interstate Bank
c $1-2 million,AIR CONTROLS BILLINGS INC,2115   2ND AVE N,BILLINGS,MT,59101,Corporation,62,04/03/2020,Glacier Bank
c $1-2 million,ALTUM SENIOR LIVING,104 E Main Ste 404,BOZEMAN,MT,59715,Limited  Liability Company(LLC),163,04/28/2020,Regions Bank
c $1-2 million,ANDERSON MASONRY INC,7393 MT HIGHWAY 35,BIGFORK,MT,59911,Subchapter S Corporation,61,04/09/2020,TrailWest Bank
c $1-2 million,ARCHIE COCHRANE MOTORS INC,2133 King Ave W,BILLINGS,MT,59102,Subchapter S Corporation,104,04/10/2020,First Interstate Bank
c $1-2 million,AUTO AUCTION ASSOCIATES OF MONTANA INC,4432 S FRONTAGE ROAD,BILLINGS,MT,59101,Corporation,106,04/03/2020,Glacier Bank
c $1-2 million,AVERILL HOSPITALITY LLC,1380 Wisconsin Avenue,WHITEFISH,MT,59937,Limited  Liability Company(LLC),250,04/03/2020,Stockman Bank of Montana
c $1-2 million,AVMAX MONTANA INC.,1930 Airport Ct.,GREAT FALLS,MT,59404,Corporation,186,04/12/2020,First Interstate Bank
c $1-2 million,BIG HORN HOSPITAL ASSOCIATION,17 North Miles Ave,HARDIN,MT,59034,Non-Profit Organization,191,04/13/2020,First Interstate Bank
c $1-2 million,"BIG SKY RANCH PARTNERS, LLC",750 Lone Mountain Ranch Rd,BIG SKY,MT,59716,Limited  Liability Company(LLC),213,04/10/2020,First Interstate Bank
c $1-2 million,"BIGHORN VALLEY HEALTH CENTER, INC.",10 4TH STREET WEST,HARDIN,MT,59034,Non-Profit Organization,127,04/07/2020,Glacier Bank
c $1-2 million,BILLINGS FLYING SERVICE INC,3655 AJ WAY,BILLINGS,MT,59106,Corporation,97,04/04/2020,Glacier Bank
c $1-2 million,BOB WARD & SONS INC,3015 Paxson St,MISSOULA,MT,59801,Corporation,255,04/06/2020,First Interstate Bank
c $1-2 million,BOZEMAN MOTORS INC,2900 19TH AVE N,BOZEMAN,MT,59718,Subchapter S Corporation,72,05/03/2020,"U.S. Bank, National Association"
c $1-2 million,BRETS INC.,4800 Grant Creek RD,MISSOULA,MT,59808,Subchapter S Corporation,127,04/04/2020,Ascent Bank
c $1-2 million,BREWER DENTAL CENTER PLLC,CENTRAL AVE2900 CENTRAL AVE BLDG 1,BILLINGS,MT,59102,Partnership,89,04/10/2020,First Interstate Bank
c $1-2 million,"BRIDGER ORTHOPEDIC AND SPORTS MEDICINE, PC",1450 ELLIS ST STE 201,BOZEMAN,MT,59715,Subchapter S Corporation,127,04/07/2020,Glacier Bank
c $1-2 million,"BUTTE-SILVER BOW PRIMARY HEALTH CARE CLINIC, INC.",445 Centennial Avenue,BUTTE,MT,59701,Non-Profit Organization,130,04/03/2020,Glacier Bank
c $1-2 million,"CAPITAL OPPORTUNITIES, INC.",82 8TH ST,BELGRADE,MT,59714,Corporation,304,04/27/2020,Glacier Bank
c $1-2 million,CENTER FOR MENTAL HEALTH,915 1st Ave South,GREAT FALLS,MT,59403,Non-Profit Organization,190,04/03/2020,Stockman Bank of Montana
c $1-2 million,CENTURY GAMING INC,1327 WEIL ST,BILLINGS,MT,59101,Corporation,109,04/27/2020,Stockman Bank of Montana
c $1-2 million,"CITY ROASTING CO, LLC",1131 N. 27th St,BILLINGS,MT,59101,Limited  Liability Company(LLC),473,04/11/2020,First Interstate Bank
c $1-2 million,CLC IDAHO LLC,281 E FRONT ST SUITE 300,MISSOULA,MT,59802,Limited  Liability Company(LLC),241,04/04/2020,Glacier Bank
c $1-2 million,CLC SPOKANE LLC,218 E FRONT ST SUITE 300,MISSOULA,MT,59802,Limited  Liability Company(LLC),250,04/04/2020,Glacier Bank
c $1-2 million,COLSTRIP ELECTRIC INC,6131 Homestead Blvd,COLSTRIP,MT,59323,Corporation,80,04/09/2020,First Interstate Bank
c $1-2 million,"COMMUNICARE TECHNOLOGY, INC.",2880 TECHNOLOGY BLVD W STE 183,BOZEMAN,MT,59718,Corporation,57,04/07/2020,Glacier Bank
c $1-2 million,COMMUNITY FOOD CO-OP INC,908 W. MAIN STREET,BOZEMAN,MT,59715,Corporation,200,04/11/2020,First Interstate Bank
c $1-2 million,COMMUNITY HEALTH CARE CENTER INC,601 1ST AVE N,GREAT FALLS,MT,59401,Professional Association,166,04/04/2020,Stockman Bank of Montana
c $1-2 million,"COMMUNITY HEALTH PARTNERS, INC.",112 W LEWIS ST,LIVINGSTON,MT,59047,Non-Profit Organization,137,04/05/2020,Glacier Bank
c $1-2 million,CONLIN'S FURNITURE INC,739 S 20TH ST,BILLINGS,MT,59102,Subchapter S Corporation,199,04/03/2020,Stockman Bank of Montana
c $1-2 million,CORCORAN OILFIELD SERVICES INC,221 Lomond Ln,BILLINGS,MT,59101,Corporation,71,04/03/2020,Stockman Bank of Montana
c $1-2 million,CORCORAN TRUCKING INC,221 Lomond Ln,BILLINGS,MT,59101,Corporation,114,04/03/2020,Stockman Bank of Montana
c $1-2 million,CORPORATE AIR,1001 S 24th Street West,BILLINGS,MT,59102,Subchapter S Corporation,95,04/14/2020,Stockman Bank of Montana
c $1-2 million,"CROWN ENTERPRISES, INC",145 HUTTON RANCH RD,KALISPELL,MT,59901,Subchapter S Corporation,162,04/03/2020,Glacier Bank
c $1-2 million,DIAMOND B OILFIELD TRUCKING INC,212 CACTUS ST,PLENTYWOOD,MT,59254,Corporation,80,04/03/2020,Stockman Bank of Montana
c $1-2 million,DON K CHEVROLET INC,6219 US Highway 93 S,WHITEFISH,MT,59937,Corporation,115,04/13/2020,Bank of Montana
c $1-2 million,"EMPIRE BUILDING MATERIALS, INC",608 E. Main St.,BOZEMAN,MT,59715,Corporation,90,05/01/2020,"U.S. Bank, National Association"
c $1-2 million,"ENERGY 1, LLC",2042 STADIUM DR Ste 2,BOZEMAN,MT,59715,Limited  Liability Company(LLC),83,04/03/2020,Stockman Bank of Montana
c $1-2 million,"ENERGY LABORATORIES, INC.",1120 S 27th St,BILLINGS,MT,59101,Corporation,145,04/14/2020,First Interstate Bank
c $1-2 million,F T REYNOLDS CO,404 N Central Ave,SIDNEY,MT,59270,Corporation,250,04/03/2020,Stockman Bank of Montana
c $1-2 million,"FEIST WATSON ENTERPRISES, INC.",6681 KESTREL DR,MISSOULA,MT,59808,Corporation,118,04/03/2020,Glacier Bank
c $1-2 million,FH STOLTZE LAND AND LUMBER COMPANY,600 HALFMOON RD,COLUMBIA FALLS,MT,59912,Subchapter S Corporation,120,04/10/2020,MidCountry Bank
c $1-2 million,FORCE SOLUTIONS INC,903 CLOUGH AVE,COLUMBUS,MT,59019,Corporation,106,04/15/2020,Rocky Mountain Bank
c $1-2 million,"FOUNDANT TECHNOLGIES, INC",143 Willow Peak Drive,BOZEMAN,MT,59718,Corporation,101,04/09/2020,First Interstate Bank
c $1-2 million,"FOX LUMBER SALES, INC.",25 RIVERBEND CT,HAMILTON,MT,59840,Corporation,148,04/07/2020,TrailWest Bank
c $1-2 million,FRANZ CONSTRUCTION INC,1700 S CENTRAL AVE,SIDNEY,MT,59270,Corporation,53,04/03/2020,The Yellowstone Bank
c $1-2 million,"GARNET USA, LLC",2200 Montana Hwy 287,ALDER,MT,59710,Limited  Liability Company(LLC),91,04/27/2020,Bank of Montana
c $1-2 million,"GARY AND LEOS, INC.",730 1ST ST,HAVRE,MT,59501,Corporation,185,04/07/2020,Independence Bank
c $1-2 million,GENERAL DISTRIBUTING COMPANY,430 17TH AVE NE,GREAT FALLS,MT,59404,Corporation,71,04/11/2020,First Interstate Bank
c $1-2 million,"GEO R. PIERCE, INC",2950 KING AVE WEST,BILLINGS,MT,59102,Subchapter S Corporation,101,04/03/2020,Stockman Bank of Montana
c $1-2 million,"GREAT WEST ENGINEERING, INC",2501 Belt View Dr,HELENA,MT,59601,Subchapter S Corporation,65,04/09/2020,First Interstate Bank
c $1-2 million,"GREENWAY ENTERPRISES, INC.",608 LINCOLN RD W,HELENA,MT,59602,Corporation,86,05/11/2020,"Bank of America, National Association"
c $1-2 million,GTUIT LLC,2924 Millenium Circle Ste A,BILLINGS,MT,59102,Limited  Liability Company(LLC),59,04/16/2020,First Interstate Bank
c $1-2 million,"GTUIT, LLC",2924 Millennium Circle Suite A,BILLINGS,MT,59102,Limited  Liability Company(LLC),59,04/15/2020,Rocky Mountain Bank
c $1-2 million,HARRINGTON COMPANY,1740 Holmes Avenue,BUTTE,MT,59701,Corporation,209,04/04/2020,Stockman Bank of Montana
c $1-2 million,HEI INC AND SUBSIDIARY,13352 HWY 200,FAIRVIEW,MT,59221,Subchapter S Corporation,70,04/03/2020,Stockman Bank of Montana
c $1-2 million,"HISTORICAL RESEARCH ASSOCIATES, INC.",125 Bank St.,MISSOULA,MT,59802,Corporation,60,04/09/2020,First Interstate Bank
c $1-2 million,INTEGRATED SECURITY SOLUTIONS INC,108 Cooperative Way,KALISPELL,MT,59901,Corporation,71,04/15/2020,First Interstate Bank
c $1-2 million,INTERMOUNTAIN DEACONESS CHILDREN'S SERVICES,3240 DREDGE DRIVE,HELENA,MT,59602,Non-Profit Organization,219,04/03/2020,Glacier Bank
c $1-2 million,INTERMOUNTAIN PLANNED PARENTHOOD,"1116 Grand Ave, Suite 201",BILLINGS,MT,59102,Non-Profit Organization,97,04/11/2020,First Interstate Bank
c $1-2 million,"J. C. BILLION, INC.",270 AUTOMOTIVE AVE,BOZEMAN,MT,59718,Corporation,152,04/04/2020,Glacier Bank
c $1-2 million,"JM SERVICES CRANE AND RIGGING, CO.",5610 Interstate Ave,BILLINGS,MT,59101,Subchapter S Corporation,102,05/07/2020,"Zions Bank, A Division of"
c $1-2 million,"JP2, LLC","1211 GRAND AVE, STE 3",BILLINGS,MT,59102,Limited  Liability Company(LLC),218,04/14/2020,"U.S. Bank, National Association"
c $1-2 million,"JUNKERMIER, CLARK, CAMPANELLA, STEVENS PC",501 Park Drive South,GREAT FALLS,MT,59405,Corporation,115,04/10/2020,First Interstate Bank
c $1-2 million,KALISPELL MOTOR COMPANY,2845 US Highway 93 S,KALISPELL,MT,59901,Corporation,96,04/12/2020,"Alerus Financial, National Association"
c $1-2 million,"KARL TYLER CHEVROLET, INC.",3663 N. Reserve St,MISSOULA,MT,59808,Subchapter S Corporation,145,04/03/2020,Glacier Bank
c $1-2 million,LEHRKIND'S INC,1715 N. Rouse,BOZEMAN,MT,59715,Subchapter S Corporation,160,04/03/2020,Stockman Bank of Montana
c $1-2 million,"LEVERICH PARTNERS, INC.",618 N WALLACE AVE,BOZEMAN,MT,59715,Corporation,79,04/05/2020,Glacier Bank
c $1-2 million,LISAC INC.,2109 Yale Avenue,BUTTE,MT,59701,Corporation,98,04/04/2020,Glacier Bank
c $1-2 million,"LUMENAD, INC. (FKA BIG SKY DIGITAL INC.)",111 NORTH HIGGINS AVE SUITE 506,MISSOULA,MT,59802,Corporation,78,04/03/2020,Glacier Bank
c $1-2 million,LUNDERBY TRUCKING LLC,12314 COUNTY ROAD 351,SIDNEY,MT,59270,Professional Association,258,04/07/2020,Stockman Bank of Montana
c $1-2 million,"LYNCH FLYING SERVICE, INC.",1691 AVIATION PL,BILLINGS,MT,59105,Subchapter S Corporation,80,04/03/2020,Stockman Bank of Montana
c $1-2 million,M.K. WEEDEN CONSTRUCTION INC,Hwy 87 West,LEWISTOWN,MT,59457,Corporation,0,04/03/2020,Glacier Bank
c $1-2 million,"MARCOM, LLC",PO Box 772,BUTTE,MT,59701,Limited  Liability Company(LLC),110,04/06/2020,"Granite Mountain Bank, Inc."
c $1-2 million,"MEADOW LARK AGENCY, INC.",2913 MILLENNIUM CIR,BILLINGS,MT,59102,Corporation,169,04/03/2020,The Yellowstone Bank
c $1-2 million,MEMORIAL HOSPITAL ASSOCIATION,2525 N Broadway,RED LODGE,MT,59068,Non-Profit Organization,140,04/11/2020,First Interstate Bank
c $1-2 million,MISSOULA BONE & JOINT LLC,2360 MULLAN RD STE C,MISSOULA,MT,59808,Limited  Liability Company(LLC),203,04/03/2020,Glacier Bank
c $1-2 million,MONGOLIAN GRILL RESTAURANT OPERATING COMPANY LLC,223 E MAIN ST,MISSOULA,MT,59802,Limited  Liability Company(LLC),500,04/15/2020,TrailWest Bank
c $1-2 million,MONTANA INDEPENDENT LIVING PROJECT INC,825 GREAT NORTHERN BLVD STE 105,HELENA,MT,59601,Non-Profit Organization,250,04/03/2020,Glacier Bank
c $1-2 million,MONTANA PETERBILT LLC,3255 FRONTAGE RD,BILLINGS,MT,59101,Limited  Liability Company(LLC),99,04/03/2020,The Yellowstone Bank
c $1-2 million,"MONTANA SILVERSMITHS, INC",1 STERLING LN,COLUMBUS,MT,59019,Corporation,158,04/03/2020,The Yellowstone Bank
c $1-2 million,"MOONLIGHT CLUB, LLC",66 Mountain Loop Road,BIG SKY,MT,59716,Limited  Liability Company(LLC),321,04/10/2020,First Interstate Bank
c $1-2 million,MOUNTAIN PACIFIC QUALITY HEALTH FOUNDATION,3404 COONEY DRIVE,HELENA,MT,59602,Non-Profit Organization,88,04/09/2020,First Interstate Bank
c $1-2 million,MOUNTAIN VIEW CO-OP,2200 Old Havre Hwy,BLACK EAGLE,MT,59414,Corporation,265,04/09/2020,First Interstate Bank
c $1-2 million,MOUNTAIN WEST HOLDING COMPANY,445 Sugar Avenue,BILLINGS,MT,59107,Subchapter S Corporation,128,04/10/2020,First Interstate Bank
c $1-2 million,"MYSTERY RANCH, LTD","MYSTERY RANCH, LTD",BOZEMAN,MT,59715,Subchapter S Corporation,101,04/11/2020,Rocky Mountain Bank
c $1-2 million,"NOMAD GLOBAL COMMUNICATIONS SOLUTIONS, INC",5414 US Highway 2 West,COLUMBIA FALLS,MT,59912,Corporation,112,04/04/2020,Freedom Bank
c $1-2 million,NORTHWEST PIPE FITTINGS INC,1725 MAJESTIC LN,BILLINGS,MT,59102,Employee Stock Ownership Plan(ESOP),152,04/06/2020,Glacier Bank
c $1-2 million,"ON SITE MANAGEMENT, INC.",1283 North 14th Avenue Suite 101,BOZEMAN,MT,59715,Subchapter S Corporation,85,04/09/2020,First Interstate Bank
c $1-2 million,"OPPORTUNITY RESOURCES, INC.",2821 S. Russell Street,MISSOULA,MT,59801,Non-Profit Organization,460,04/09/2020,Clearwater FCU
c $1-2 million,PALATINE ACE HDW. ET. AL.,2301 BROOKS ST,MISSOULA,MT,59801,Corporation,190,04/08/2020,First Interstate Bank
c $1-2 million,PARTNERSHIP HEALTH CENTER INC,401 RAILROAD ST W,MISSOULA,MT,59802,Non-Profit Organization,224,04/15/2020,First Interstate Bank
c $1-2 million,PASTA MONTANA LLC,One Pasta Place,GREAT FALLS,MT,59401,Limited  Liability Company(LLC),115,04/14/2020,First Interstate Bank
c $1-2 million,"PIERCE'S FLOORING, INC",2950 KING AVE WEST,BILLINGS,MT,59102,Subchapter S Corporation,125,04/03/2020,Stockman Bank of Montana
c $1-2 million,PONDERA MEDICAL CENTER,805 SUNSET BLVD,CONRAD,MT,59425,Non-Profit Organization,131,04/14/2020,Stockman Bank of Montana
c $1-2 million,"POWELL COUNTY MEMORIAL HOSPITAL ASSOCIATION, INC.",1100 HOLLENBACK LN,DEER LODGE,MT,59722,Non-Profit Organization,120,04/04/2020,First Security Bank of Deer Lodge
c $1-2 million,"PRAIRE TRAVELERS, INC",130 3rd Street South Suite 2,GLASGOW,MT,59230,Corporation,93,04/07/2020,"Bank of Bridger, National Association"
